====================================================================================================================
This README describes the versions of the components found in the cumulative firmware and driver update package.
====================================================================================================================

Device(s): Surface Laptop 3

====================================================================================================================
List of Included Firmware and Drivers
====================================================================================================================

Class              InfName                                 Version         Date
MEDIA              IntcDMic.inf                            10.24.0.7927    08/02/2022
MEDIA              IntcSDW.inf                             10.24.0.7927    08/02/2022
MEDIA              IntcSST.inf                             10.24.0.7927    08/02/2022
MEDIA              MSHdaDac.inf                            31.0.101.2125   05/24/2023
Monitor            SurfaceOemPanel.inf                     6.81.139.0      07/15/2021
Net                msu53cx22x64sta.INF                     1153.9.20.823   08/23/2022
Net                msu56cx22x64sta.INF                     1156.9.20.823   08/23/2022
net                Netwtw08.INF                            22.230.0.8      05/09/2023
SoftwareComponent  cui_dch.inf                             31.0.101.2125   05/24/2023
SoftwareComponent  iclsClient.inf                          1.66.712.0      12/08/2022
SoftwareComponent  igcc_dch.inf                            31.0.101.2125   05/24/2023
SoftwareComponent  RealtekHSA.inf                          11.0.6000.92    05/29/2018
System             DetectionVerificationDrv.inf            1.0.2283.0      05/17/2022
System             DetectionVerificationDrv.inf            1.0.2283.0      05/17/2022
System             dptf_acpi.inf                           8.6.10401.9906  06/14/2019
System             dptf_cpu.inf                            8.6.10401.9906  06/14/2019
System             heci.inf                                2251.4.2.0      12/11/2022
System             iaLPSS2_GPIO2_ICL.inf                   30.100.1916.1   04/15/2019
System             iaLPSS2_I2C_ICL.inf                     30.100.1916.1   04/15/2019
System             iaLPSS2_SPI_ICL.inf                     30.100.1916.1   04/15/2019
System             iaLPSS2_UART2_ICL.inf                   30.100.1932.6   08/08/2019
System             IceLakePCH-LPSystem.inf                 10.1.12.2       07/18/1968
System             IceLakePCH-LPSystemLPSS.inf             10.1.12.2       07/18/1968
System             IceLakePCH-LPSystemNorthpeak.inf        10.1.12.2       07/18/1968
System             IntcAudioBus.inf                        10.24.0.7927    08/02/2022
System             IntcOED.inf                             10.24.0.7927    08/02/2022
System             IntcOED.inf                             10.24.0.7927    08/02/2022
System             SurfaceAcpiNotifyDriver.inf             7.52.139.0      08/22/2019
System             SurfaceButton.inf                       3.43.139.0      08/22/2019
System             SurfaceHotPlug.inf                      2.40.139.0      08/22/2019
System             SurfaceIntegrationDriver.inf            19.64.139.0     12/17/2020
System             SurfaceLightSensor.inf                  1.35.139.0      09/17/2019
System             SurfacePen217FwUpdate.inf               1.7.139.0       08/02/2019
System             SurfacePenPairing.inf                   4.13.139.0      08/02/2019
System             SurfacePowerTrackerCore.inf             1.44.139.0      08/22/2019
System             SurfaceSerialHubDriver.inf              9.54.139.0      01/22/2021
System             SurfaceServiceNullDriver.inf            6.204.139.0     10/30/2022
UCM                SurfaceUcmUcsiHidClient.inf             1.19.139.0      07/28/2019


